Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
"['Marcha8M', '8M2023']",2023-03-08 21:20:51+00:00,"Más de 5  mil personas, mujeres, hombres y niñas se apostaron frente al edificio de gobierno estatal, resguardado por policías de género. #Marcha8M  #8M2023 
https://t.co/ASTVMLdLuw",El_Universal_Mx,7377251,7,7,24,2,12694.0,es
"['8M2023', 'Marcha8M']",2023-03-08 21:20:06+00:00,"El 8 de marzo es un día para conmemorar la lucha de las mujeres trabajadoras #8M2023 #Marcha8M 
https://t.co/I24pQgCxWn",El_Universal_Mx,7377251,1,4,21,0,9958.0,es
"['8M2023', 'Marcha8M']",2023-03-08 21:16:29+00:00,"#8M2023  |  En su avance sobre Avenida Juárez, un hombre increpó a las manifestantes y las agredió a empujones por lo que ellas respondieron lanzándole agua y pintura. Finalmente, un elemento de la SSC lo retiró del lugar.  #Marcha8M 

Video:  Alelhí Salgado https://t.co/qJacM3H9VD",El_Universal_Mx,7377251,17,22,185,9,57662.0,es
"['8M2023', 'Marcha8M']",2023-03-08 21:10:40+00:00,"🟣 #8M2023 | Retiran contingentes  feministas las vallas colocadas al frente de las policías de la célula de género desplegadas frente a palacio de gobierno del Estado de México.  #Marcha8M 

Video: Claudia González https://t.co/VWWWmi7Jge",El_Universal_Mx,7377251,4,14,69,0,14936.0,es
"['8M2023', 'Marcha8M']",2023-03-08 21:05:55+00:00,"#8M2023  |  “¡El que no brinque es macho!”, canta la colectiva Sonido Babado en Avenida Juárez y ponen a bailar a miles de mujeres al ritmo de batucada 🥁🪘#Marcha8M 

Video:  Alelhí Salgado https://t.co/SDtKCMUNyn",El_Universal_Mx,7377251,16,31,152,1,25256.0,es
['8M2023'],2023-03-08 21:00:00+00:00,"🟣 Las mujeres en México padecen de las peores pensiones en América Latina, donde cuatro de cada 10 tendrán menores recursos al momento de su retiro  #8M2023 
https://t.co/Ny6OdWRTmY",El_Universal_Mx,7377252,4,13,20,1,8117.0,es
"['8M2023', 'Marcha8M']",2023-03-08 20:52:09+00:00,"🟣⚫️ Integrantes del Bloque Negro reparten a las manifestantes boletines de mujeres y niñas desaparecidas. “Nos han encerrado en un concepto equivocado; nosotras venimos a solidarizarnos porque también somos víctimas”, aseguran. | #8M2023   #Marcha8M 

Video:  Alelhí Salgado https://t.co/0vmGg2Zqiz",El_Universal_Mx,7377253,10,95,483,4,43715.0,es
"['8M2023', 'Marcha8M']",2023-03-08 20:47:04+00:00,"Al grito de  ""¡Alerta, Alerta que la lucha feminista está en toda América Latina!"", mujeres a los diversos contingentes se dan cita en el Metro Revolución  #8M2023  #Marcha8M 

Video: Yalina Ruiz https://t.co/pDXBGCeVpv",El_Universal_Mx,7377253,6,27,147,1,20881.0,es
"['8M2023', 'Marcha8M']",2023-03-08 20:44:19+00:00,"🟣 #8M2023 |  ""12 años sobreviviendo, no viviendo"" y ""para que mañana mi mamá no tenga miedo de que vaya a patinar y no regrese"",  jóvenes skates comparten consignas en tablas de patinar en #Marcha8M 

Video: Francisco Rodríguez https://t.co/SlHoCoMfYA",El_Universal_Mx,7377253,5,44,314,5,38217.0,es
"['8M2023', 'Marcha8M']",2023-03-08 20:34:11+00:00,"#8M2023 🟣| Resguardadas por el Bloque Negro, inician su avance hacia Avenida Juárez amigas, madres, hermanas y familiares de víctimas de feminicidio y otras violencias de género. La línea que las acordona sostiene un tendedero de agresores.  #Marcha8M 

Video: Alelhí Salgado https://t.co/JxRiDQS3TI",El_Universal_Mx,7377255,21,120,747,4,80164.0,es
"['8M2023', 'Marcha8M']",2023-03-08 20:25:53+00:00,"Las activistas hicieron un llamado al gobierno para garantizar atención, financiamiento y tratamiento oportuno para las pacientes oncológicas #8M2023  #Marcha8M 
https://t.co/Uibmfbs5G1",El_Universal_Mx,7377255,3,9,70,0,13538.0,es
"['8M2023', 'Marcha8M']",2023-03-08 20:23:16+00:00,"🟣#8M2023 |  Diferentes colectivas feministas  inician avance con destino al Zócalo de la CDMX  #Marcha8M 
https://t.co/ZaJcHFGpKG",El_Universal_Mx,7377255,2,5,44,0,12842.0,es
['8M2023'],2023-03-08 20:05:00+00:00,"En el marco del Día Internacional de la Mujer, legisladoras de oposición acusaron a sus pares de ausentarse de sesión por asistir a evento con el presidente López Obrador |  #8M2023 
https://t.co/9WVXCWvyGC",El_Universal_Mx,7377255,5,11,20,0,9308.0,es
['8M2023'],2023-03-08 19:50:00+00:00,"Google se suma a la conmemora el Día Internacional de la Mujer  #8M2023 
https://t.co/dLAwUwp9eJ",El_Universal_Mx,7377255,0,3,11,0,6985.0,es
"['8M2023', 'Marcha8M']",2023-03-08 19:45:00+00:00,"🟣#8M2023  |  En todos los estados del país, se alistan diversas actividades en las que mujeres feministas y colectivos, salen a las calles a exigir por sus derechos   #Marcha8M 
https://t.co/JSc95QbNzE",El_Universal_Mx,7377256,2,1,22,0,9791.0,es
"['Marcha8M', '8M2023']",2023-03-08 19:35:00+00:00,"Colectivo ""Voz de los Desaparecidos"" marcha en memoria de las madres y mujeres desaparecidas en Puebla     #Marcha8M   #8M2023 

Fotos: Omar Contreras / El Universal https://t.co/UBhpLx0Qvq",El_Universal_Mx,7377255,0,12,49,0,11579.0,es
['8M2023'],2023-03-08 19:30:00+00:00,"El sector tecnológico tiene una brecha de género muy importante que se debe erradicar #8M2023 
https://t.co/Js5wzsZKXt",El_Universal_Mx,7377255,2,1,6,0,6597.0,es
"['8M2023', 'Marcha8M']",2023-03-08 19:29:27+00:00,"#8M2023 🟣 |  Comienzan a salir algunos contingentes de mujeres desde el Ángel de la Independencia.   #Marcha8M 

Fotos: Diego Simón https://t.co/QC4I5SALca",El_Universal_Mx,7377255,6,49,229,2,28538.0,es
"['8M2023', 'Marcha8M']",2023-03-08 19:25:00+00:00,"#8M2023 🟣 |  Pacientes oncológicas y mujeres sobrevivientes de cáncer, pintaron las cicatrices de sus mastectomías para visibilizar y protestar contra la violencia  #Marcha8M 
https://t.co/Uibmfbs5G1",El_Universal_Mx,7377255,2,11,67,0,10389.0,es
"['8M2023', 'Marcha8M']",2023-03-08 19:22:37+00:00,"#8M2023 🟣| Desde el Monumento a la Revolución sale un segundo contingente conformado por estudiantes, mujeres menores de edad y diversidades, con destino a la plancha del Zócalo.  #Marcha8M 

Video: Alelhí Salgado https://t.co/vrgNfzMh3B",El_Universal_Mx,7377255,34,115,845,10,77932.0,es
['8M2023'],2023-03-08 19:10:00+00:00,"🟣“ Ahora, la mujer es más aceptada en la sociedad, pero en la lucha libre sigue el machismo"", comenta la luchadora Star Fire   #8M2023 
https://t.co/x0ffVzzxoK",El_Universal_Mx,7377258,0,4,33,0,9016.0,es
"['Marcha8M', '8M2023']",2023-03-08 19:07:16+00:00,"🟣Desde la Glorieta de las Mujeres que Luchan sale rumbo al Zócalo uno de los primeros  contingentes de las movilizaciones por el Día Internacional de la Mujer; está conformado por universitarias y familiares de víctimas de feminicidio #Marcha8M  #8M2023 

Video: Alelhí Salgado https://t.co/gSYF99egnb",El_Universal_Mx,7377258,8,97,497,3,39779.0,es
"['8M2023', 'Marcha8M']",2023-03-08 19:01:57+00:00,"🟣 #8M2023 |  Mujeres sobrevivientes de cáncer de mama piden que se hablen de las secuelas de los tratamientos y denuncian la falta de apoyo para tener una vida digna   #Marcha8M 

Video: Berenice Fregoso https://t.co/peXrU532Es",El_Universal_Mx,7377257,27,620,2308,14,94853.0,es
['8M2023'],2023-03-08 18:55:00+00:00,"Lula da Silva pidió conmemorar el Día Internacional de la Mujer ""con respeto"" para acabar con la ""intolerable"" violencia machista y cambiar el actual sistema de ""privilegios de los hombres""  #8M2023 
https://t.co/xsZyaNTPpJ",El_Universal_Mx,7377258,3,9,36,0,8797.0,es
"['8M2023', 'Marcha8M']",2023-03-08 18:52:00+00:00,"🟣 #8M2023 |  Sigue el minuto a minuto de la Marcha por el Día Internacional de la Mujer  👇  #Marcha8M 
https://t.co/5WnQQcgfzb",El_Universal_Mx,7377259,7,24,133,1,58140.0,es
"['8M2023', 'Marcha8M']",2023-03-08 18:36:35+00:00,"🟣 Mujeres sobrevivientes y con cáncer de mama se reúnen en la glorieta de las ""Mujeres que luchan"" para demandar tratamientos oportunos     
#8M2023  #Marcha8M 

Video: Berenice Fregoso https://t.co/3LCxBRo4Eq",El_Universal_Mx,7377262,5,148,597,5,39490.0,es
['8M2023'],2023-03-08 18:30:00+00:00,"🟣 En 2022 se interpusieron 759 denuncias en organismos, de las cuales únicamente 47 resultaron en rescisiones de contrato o expulsión. #8M2023 
https://t.co/W3aadrFyvO",El_Universal_Mx,7377262,0,3,22,0,7128.0,es
['8M2023'],2023-03-08 18:20:00+00:00,"🟣✊ ""Mi ropa no es corta, tu educación sí"" Miles de mujeres en todo el mundo salen a marchar este #8M2023  

👀 Países como Francia, Nigeria, Alemania, Chile, Inglaterra son sólo algunos de los que se han unido a esta lucha que año con año cobra fuerza 

Fotos 📸 AP, AFP, EFE https://t.co/92fzdKXp1w",El_Universal_Mx,7377263,6,65,237,3,18540.0,es
"['CDMX', '8M2023']",2023-03-08 18:15:00+00:00,"🟣 La policía cibernética de la #CDMX realiza estos trabajos para prevenir y combatir cualquier incidente cibernético que las pudiera poner en riesgo.  #8M2023 
https://t.co/zfo67Gmz9P",El_Universal_Mx,7377264,2,1,15,0,9514.0,es
['8M2023'],2023-03-08 18:10:00+00:00,"🟣 Aunque en docenas de países se han producido avances significativos, la situación en lugares como Afganistán e Irán son un sombrío recordatorio de que todavía queda mucho camino por recorrer.  #8M2023
https://t.co/qXM5UulgKW",El_Universal_Mx,7377264,1,8,28,0,9927.0,es
['8M2023'],2023-03-08 17:30:00+00:00,"El IMCO estimó que, en 2030, el PIB de México podría ser 15% mayor que el de 2020 si sumamos a 8.2 millones más de mujeres a la economía  #8M2023 
https://t.co/5cdGoOcGy0",El_Universal_Mx,7377265,0,2,5,0,7624.0,es
['8M2023'],2023-03-08 17:20:00+00:00,"Si acudirás a la marcha #8M2023 recuerda protegerte del sol, porque se esperan  altos índices de radiación UV
https://t.co/sNzcGHJu1U",El_Universal_Mx,7377266,0,5,28,0,8348.0,es
"['8M2023', 'CDMX']",2023-03-08 16:05:00+00:00,"¡Entérate! Este #8M2023, las marchas en #CDMX saldrán desde distintos puntos 
https://t.co/xqStk5wuec",El_Universal_Mx,7377271,1,6,31,2,9110.0,es
['8M2023'],2023-03-08 15:10:00+00:00,"En este #8M2023, García Vilchis aseguró que ""es honor permanecer y colaborar con el gobierno más humanista y con perspectiva de género que ha tenido este país"" 
https://t.co/0t7uYWfQzX",El_Universal_Mx,7377272,333,24,179,37,110511.0,es
"['Postal', '8M2023']",2023-03-08 14:30:00+00:00,"#Postal Jen Mulini narró como un accidente le quitó la posibilidad de caminar, pero la cargó de valor para alentar a otras mujeres a poner en el foco las violencias de las que son víctimas y crear válvulas de escape de las mismas.  #8M2023 https://t.co/NygRyvoIX2 https://t.co/006x4uKi3a",El_Universal_Mx,7377274,0,4,30,0,9389.0,es
['8M2023'],2023-03-08 14:10:00+00:00,"Este #8M2023 habrá diversas estaciones cerradas, entérate de cuáles son 
https://t.co/gjTpce172V",El_Universal_Mx,7377276,3,8,26,0,9763.0,es
['8M2023'],2023-03-08 14:02:14+00:00,"AMLO pidió que en este #8M2023 las movilizaciones sean ""pacíficas y sin violencia"" 
https://t.co/b43y8sQCKF",El_Universal_Mx,7377278,20,7,31,2,14005.0,es
['8M2023'],2023-03-08 13:20:00+00:00,🟣 Este #8M2023 EL UNIVERSAL presenta los perfiles de 24 mujeres que ocupan o buscan cargos relevantes en la administración pública en la Ciudad de México y el Estado de México https://t.co/RrYQ25RXXW,El_Universal_Mx,7377284,0,6,33,0,16527.0,es
