Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 05:00:23+00:00,"""El opresor no sería tan fuerte si no tuviese cómplices entre los propios oprimidos"".
Simone de Beauvoir
#Fuedicho #8deMarzo #DiadelaMujer https://t.co/j2Kqj6rjgD",fuedicho,803365,19,911,3042,38,120267.0,es
"['Fuedicho', '8DeMarzo', 'DiadelaMujer']",2023-03-08 04:00:33+00:00,"""Las mujeres que han cambiado el mundo no han necesitado nunca mostrar otra cosa que su inteligencia"".
Rita Levi-Moltancini 
#Fuedicho 
#8DeMarzo #DiadelaMujer https://t.co/sPDNBpAz47",fuedicho,803365,99,5150,18403,231,1016662.0,es
"['8deMarzo', 'DiadelaMujer', 'Fuedicho']",2023-03-08 03:00:25+00:00,"""Cuando quedas atrapado en la destrucción, debes abrir una puerta a la creación"".
Anaïs Nin
#8deMarzo #DiadelaMujer
#Fuedicho https://t.co/5nKbZPFSXJ",fuedicho,803366,0,93,339,4,23721.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 02:00:42+00:00,"""Hasta el saber cansa, cuando es el saber por oficio"".
Sor Juana Inés de la Cruz
#Fuedicho
#8deMarzo #DiadelaMujer https://t.co/bP8dX5adIO",fuedicho,803366,2,74,357,0,22680.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 00:01:29+00:00,"""He tenido un instante de inmensa paz. Quizá esto sea la felicidad"".
Virginia Woolf
#Fuedicho
#8deMarzo #DiadelaMujer https://t.co/27HI3oVk1r",fuedicho,803366,1,145,672,3,32332.0,es
"['Fuedicho', '8deMarzo', 'Diadelamujer']",2023-03-07 23:00:49+00:00,"""La libertad se aprende ejerciéndola"".
Clara Campoamor
#Fuedicho
#8deMarzo #Diadelamujer https://t.co/nNbzaEx7Ur",fuedicho,803366,3,181,620,7,33987.0,es
['8M2023'],2023-03-08 12:39:23+00:00,"El 8 de marzo de 1908 prendieron fuego a 129 mujeres en una fabrica por protestar por sus derechos. 
Hoy no se festeja, se recuerda. Por ellas, por nosotras y por las que vienen #8M2023 💜 https://t.co/1bWVKGGYeO",witchval91,6959,3,7005,19143,130,623785.0,es
"['8M', 'DiaInternacionalDeLaMujer']",2023-03-07 21:01:09+00:00,"Mujeres afganas protestan a las puertas de la Universidad, donde no les permiten estudiar. 
El mundo sigue lleno de puertas cerradas para nosotras, barreras de ascenso  y techos de cristal. 
Amigas…el camino es largo. 
💜🙌
#8M #DiaInternacionalDeLaMujer 
https://t.co/kwCJW5PfJb",almuariza,173729,89,3872,9481,135,353264.0,es
"['Edoméx', '8DeMarzo', 'DiaInternacionalDeLaMujer']",2023-03-09 02:01:33+00:00,"✨En el #Edoméx el compromiso con las mujeres se refleja en acciones. 

#8DeMarzo #DiaInternacionalDeLaMujer https://t.co/mH4femBaeT",SeMujeresEdomex,18361,0,9,18,1,749.0,es
"['8DeMarzo', 'DiaInternacionalDeLaMujer']",2023-03-09 01:00:00+00:00,"¡La lucha por la igualdad empieza en los rincones más privados del hogar!

Una manera de sumarse a este #8DeMarzo, es redistribuyendo de forma equitativa las labores de cuidado y extendiéndola a los otros 364 días. 
#DiaInternacionalDeLaMujer https://t.co/S0gxFX3yFn",SeMujeresEdomex,18361,0,11,23,0,696.0,es
"['8DeMarzo', 'DíaInternacionalDeLaMujer']",2023-03-09 00:00:01+00:00,"""Cuando las mujeres de todos los continentes... se unen en este día, pueden contemplar una tradición de no menos de noventa años de lucha en pro de la igualdad, la justicia, la paz y el desarrollo"".
- @ONUMujeresMX 
#8DeMarzo #DíaInternacionalDeLaMujer https://t.co/4pR5oilbiJ",SeMujeresEdomex,18361,0,7,21,0,431.0,es
"['8DeMarzo', 'DiaInternacionalDeLaMujer']",2023-03-08 22:00:00+00:00,"El origen del #8DeMarzo son las protestas de las mujeres por sus derechos. 
Hoy no se festeja; se conmemora, recuerda y reconoce a las que dieron su vida para que las mujeres hoy sigan luchando para tener voz propia. 
#DiaInternacionalDeLaMujer https://t.co/xE0ixQ4ekZ",SeMujeresEdomex,18361,2,31,48,2,1405.0,es
