Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
['8DeMarzo'],2023-03-08 18:20:10+00:00,"#8DeMarzo | De 8M a 8M: Un año de conquistas en el deporte

https://t.co/7ACvyF1DPq",AristeguiOnline,9473989,3,3,34,0,12323.0,es
['8DeMarzo'],2023-03-08 17:55:09+00:00,"Padres de Debanhi envían mensaje a AMLO y Gertz | #8DeMarzo

https://t.co/kSeEMaQgNo",AristeguiOnline,9473993,14,33,76,1,19565.0,es
['8DeMarzo'],2023-03-08 16:50:48+00:00,"Películas feministas para ver este #8DeMarzo

https://t.co/3yl7VdXkO7",AristeguiOnline,9473995,1,7,32,1,12193.0,es
"['AristeguiEnVivo', '8DeMarzo']",2023-03-08 15:34:12+00:00,"#AristeguiEnVivo | Estamos con Lucía Lagunes Huerta (@lagunes28),  directora de @prensacimac 

🔴 Monitoreo y acompañamiento a quienes den cobertura a las protestas del #8DeMarzo
 👉  https://t.co/bgExRPuaTN https://t.co/iOTXTP28aW",AristeguiOnline,9474003,2,6,20,1,14711.0,es
['8DeMarzo'],2023-03-08 15:23:30+00:00,"#8DeMarzo |  Tatiana Huezo, Sofía Auza y Natalia Beristain, son algunas de las directoras que han puesto el nombre de México en alto dentro de la industria cinematográfica.

https://t.co/IKdNBLFIAn",AristeguiOnline,9474003,1,16,83,0,20404.0,es
['8DeMarzo'],2023-03-08 15:00:07+00:00,"#8DeMarzo | Mujeres trans y migrantes en México: ¿Qué peligros enfrentan?

https://t.co/YJgViFNoBJ",AristeguiOnline,9474007,27,8,26,1,19383.0,es
['8DeMarzo'],2023-03-08 14:52:33+00:00,"#8DeMarzo | Garantizado derecho a manifestación: AMLO sobre 8M

https://t.co/LwZkb9cTjG",AristeguiOnline,9474008,10,7,23,1,16200.0,es
"['DiaInternacionalDeLaMujer', '8marzo2023', 'DiaInternacionalDeLaMujer', 'VivasNosQueremos']",2023-03-08 19:24:34+00:00,"Gracias a San Luis Potosí por invitarme a dialogar sobre el #DiaInternacionalDeLaMujer y lo mucho que falta para enfrentar la violencia de género, la misoginia, el sexismo, y la desigualdad en nuestro país.

#8marzo2023 
#DiaInternacionalDeLaMujer 
#VivasNosQueremos https://t.co/rDKFlMJ5c7",DeniseDresserG,4644130,63,50,477,3,30239.0,es
"['8M2023', 'DiaInternacionalDeLaMujer']",2023-03-08 17:03:19+00:00,"Nos vemos en el Zócalo, como cada 8 de marzo. Vivas las quiero, vivas las queremos. Libres las quiero, libres las queremos. Con voz, con derechos, con valentía, con exigencia, con las causas compartidas que nos unen. 

#8M2023 
#DiaInternacionalDeLaMujer https://t.co/QbsiCx54cK",DeniseDresserG,4644128,484,568,3693,24,178320.0,es
"['8M', 'DiaInternacionalDeLaMujer']",2023-03-08 12:57:17+00:00,"Nos vemos en el Zócalo. 
#8M
#DiaInternacionalDeLaMujer https://t.co/AInMz6NvtD",DeniseDresserG,4644135,322,197,1417,12,89391.0,es
